"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_congestion_hours","state_tot_commuters","state_avg_congestion_hours","capital_disbursement_per_lm","maintenance_disbursement_per_lm","admin_disbursement_per_lm","total_disbursement_per_lm","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","total_fatalities_per_100m_VMT","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score","capital_disbursement_per_lm_rank","maintenance_disbursement_per_lm_rank","admin_disbursement_per_lm_rank","total_disbursement_per_lm_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","total_fatalities_per_100m_VMT_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_rank"
"11","Hawaii",1018.33,2477.288,2.4326966700382,243071,60106,18764,384959,0,0,3.219,77.349,14.141,54.639,31.517,261.275,85,7,47,8785.36654,242.27314,3781.14601,1162,87,4748227.99004314,430029.636363636,11.0416296657936,98119.7987476628,24262.8228934222,7574.41201830389,155395.335544353,NA,25.8807811270338,4.16165690571307,12.0627691130035,7.48709122203098,0.967517969944598,2.88930089402399,1.24300939121893,1.35892030923416,45,39,28,41,NA,50,48,33,33,6,49,39,39
"12","Idaho",16801.948,12272.361,0.730412985446688,602942,112824,32451,843288,10.789,519.445,54.303,1689.282,1.527,91.768,47.887,361.91,214,85,20,17406.41762,5170.93727,3895.8963,4561,238,3536142.50260734,515858.985064557,6.85486267562988,49130.0736671615,9193.3410368225,2644.23447126433,68714.4062988369,2.07702451655132,1.6639787289687,3.21456097916156,13.2317426984609,5.21815391361543,1.22943160776583,1.64380257507939,0.513360686730804,0.702623855250668,31,16,14,21,32,11,46,34,19,21,43,3,22
"13","Illinois",16740.79,42168.83,2.5189271235109,3146026,928708,179114,5206962,16.62,1243.34,57.83,2360.12,45.38,941.7,331.41,2887.21,1194,109,395,94120.59736,11863.11952,38702.49647,26846,2405,176663745.261777,4148497.6043423,42.5849939208981,74605.4846672293,22023.5657474964,4247.54492832739,123478.92981617,1.33672205510962,4.81894446214293,2.450299137332,11.4785554220164,8.95850406019519,1.26858523372211,0.918813974825401,1.02060599709939,1.60538324420876,40,35,22,39,26,34,44,32,38,25,14,26,42
"14","Indiana",11623.156,28444.825,2.44725485917938,1554090,919218,106962,2706417,21.232,768.945,7.346,1969.518,20.853,491.889,114.338,1717.31,897,185,195,76607.74049,12724.29645,20302.47864,19337,1082,37167616.4498033,2129074.35917322,17.4571716058976,54635.2456026711,32315.8254621007,3760.33250336397,95146.1997041641,2.76118578051746,4.23937107762117,0.372984659190726,6.6579708963437,5.59549051042044,1.17089995640465,1.45391142627772,0.960473858673642,0.945920512778754,36,42,19,33,39,31,7,18,24,17,37,24,31
"15","Iowa",9525,22917.695,2.40605721784777,1011405,227049,68947,1452777,9.469,610.413,62.225,3387.07,8.375,177.535,94.381,896.72,337,85,60,29751.49674,10106.30789,6305.85214,23870,4504,5124725.84631601,816851.267455711,6.27375637461915,44132.0560379218,9907.148166515,3008.46136576999,63391.060924757,1.55124481293813,4.71737967161405,1.8371335697225,10.5251360513873,18.8688730624215,1.13271612162931,0.841058880504778,0.951497096156143,0.633090889896274,25,18,16,19,30,33,39,29,49,15,10,22,19
"16","Kansas",10865.949,24037.406,2.21217732569884,445765,191848,80775,1206931,4.73,639.501,8.54,2628.83,7.23,234.606,21.656,312.222,426,96,64,27853.80189,7546.83194,6238.48824,24925,1277,5331090.71953972,841005.242477591,6.3389506393972,18544.6383024857,7981.22725888143,3360.38755596174,50210.5343646482,0.739639187428949,3.08176261476689,0.324859348074999,6.93609034597178,5.12337011033099,1.52941419516932,1.27205694738182,1.02588956711731,0.327990258207967,6,14,17,18,14,25,5,20,17,37,30,27,6
"17","Kentucky",28261.265,62345.847,2.20605294915143,1293161,486934,34405,2253081,5.678,710.297,6.416,1229.06,5.333,230.024,22.184,622.471,780,150,143,46535.80644,12617.92559,11330.46981,14410,990,15148381.4018701,1157606.54914188,13.0859499828326,20741.7344093505,7810.20747059543,551.841087346203,36138.4295573048,0.799383919684301,2.31845372656766,0.522024962166208,3.56386080636688,6.87022900763359,1.67612868384623,1.18878494670216,1.2620835887475,0.46718609534187,7,13,1,11,16,16,14,6,26,45,24,40,13
"18","Louisiana",17770.175,40153.939,2.25962541167996,886746,433915,53776,1631884,16.144,526.579,23.449,1007.778,49.631,414.04,151.91,956.112,828,99,228,48374.10643,8908.47797,15956.06196,12782,1631,43198913.752873,1508478,28.6374171534971,22083.661580499,10806.2872735848,1339.24594546005,40640.6953001547,3.06582678002731,11.9870060863685,2.32680213300945,15.888305972522,12.7601314348302,1.7116595242915,1.11130094650725,1.42892400751244,0.74348255259965,12,22,7,14,43,49,43,40,45,46,20,46,24
"19","Maine",8629.146,17467.309,2.02422221156068,486290,251308,22799,859996,3.88,279.28,30.51,791.896,1.24,86.99,13.18,120.084,164,28,9,13086.41725,3381.44709,1726.3128,2485,314,1510983.81230825,345018.181818182,4.37943242395415,27840.0067234169,14387.3335039759,1305.23825965408,49234.6016206618,1.38928673732455,1.4254512012875,3.85277864770121,10.9756503780687,12.635814889336,1.25320778687536,0.828047852140132,0.521342366227024,0.406432612927292,16,29,6,17,27,7,47,30,44,23,8,4,10
"20","Maryland",5491.671,14927.941,2.71828756675336,1520245,420904,118806,3188653,1.76,142.136,3.245,320.815,23.311,335.891,171.725,1021.601,567,23,271,50885.12383,4001.6127,27573.56035,5446,253,75595196.2316254,2460068.26260647,30.7289018685731,101838.893923817,28195.7170114753,7958.63274111279,213603.001244445,1.2382506894805,6.94004900399237,1.01148637064975,16.8094001474157,4.64561145795079,1.11427458031598,0.574768267803628,0.982825563910175,1.73287169883054,46,41,29,45,23,42,25,41,14,13,1,25,45
"21","Massachusetts",3625.333,9556.314,2.63598240492666,877552,313006,167507,3310018,0.648,62.608,1.2,104.577,15.028,501.822,465.157,1940.45,343,10,171,54126.82558,1051.55157,29366.47448,5245,456,153623159.787217,2669547.54330105,57.5465157654591,91829.548505836,32753.8421194615,17528.4110589083,346369.740466879,1.03501150012778,2.99468735926285,1.14747984738518,23.9716045247236,8.69399428026692,0.633696870866817,0.950975709160893,0.582296659806608,2.06186099306157,42,43,48,48,20,23,29,47,37,1,15,8,46
"22","Michigan",9666.994,27366.346,2.83090545002924,1453437,379062,127196,2533199,16.761,558.102,15.055,2129.91,52.424,672.843,393.858,2323.23,1084,92,351,86546.99493,11172.76279,34137.54162,11284,1240,31889655.613237,3350272.67313847,9.51852542299593,53110.3787111367,13851.3925096175,4647.89855393921,92566.2125297985,3.00321446617285,7.79141642255326,0.706837378105178,16.9530352139048,10.989010989011,1.25249871572866,0.823431068297119,1.02819354687908,0.794827878404416,35,28,23,32,41,43,19,42,42,22,5,28,28
"23","Minnesota",13710.988,29175.577,2.12789749360148,1197615,558585,181153,2354155,5.254,588.081,19.284,3453.316,10.405,325.418,11.356,612.246,394,67,61,51619.44114,9729.46025,15098.5755,13496,618,30964140.4250809,1940920.2687448,15.9533294199177,41048.5455009167,19145.6367769522,6209.06314894818,80689.2353834167,0.893414342582059,3.19742607968828,0.55841979129625,1.85480999467534,4.57913455838767,0.763278313942629,0.688630183776125,0.404011623480639,0.758170094643163,23,32,25,27,17,27,15,1,12,2,2,2,26
"24","Mississippi",11041.596,28310.191,2.5639582357478,708631,124291,60441,1031193,8.637,578.436,16.197,1783.239,7.932,253.106,93.539,952.061,752,177,138,39665.08749,9805.39776,9668.9066,16788,1174,3538448.97067375,557546.322951286,6.34646633833672,25030.9508685406,4390.32714403093,2134.9555712994,36424.7984056342,1.49316432587183,3.1338648629428,0.908291036703437,9.82489567370158,6.99309030259709,1.895873796294,1.80512819910327,1.42725548719232,0.405734424008642,15,4,10,13,29,26,23,26,29,49,46,45,9
"25","Missouri",34011.38,77693.084,2.28432612848994,805193,513233,182531,2157743,4.626,841.535,8.833,1890.406,16.286,538.11,70.638,871.492,987,146,291,72797.03699,14354.89963,22357.05028,24590,2218,20939675.9634591,2028942.56595222,10.3204872897088,10363.7667414515,6605.90330022168,2349.38543564573,27772.6521964297,0.549709756575781,3.02651874152125,0.467254124246326,8.1054100324501,9.019926799512,1.35582441375407,1.01707433533619,1.30160283380639,0.296720982212843,1,9,13,5,9,24,12,23,39,30,17,42,3
"26","Montana",15450.877,25210.881,1.63167961274949,528455,134321,44141,784116,14.5,1095.069,43.36,2772.977,1.7,97.708,38.067,255.623,213,90,14,12104.09134,4904.2479,1779.6028,5266,365,1896242.60994197,161508.272727273,11.7408388927793,20961.3856810478,5327.89790249694,1750.87098304895,31102.2847634718,1.32411747570244,1.7398780038482,1.56366244653309,14.8918524545913,6.93125712115458,1.75973556392545,1.83514377403312,0.786692401248189,0.447305457181434,8,6,9,6,25,13,36,38,28,47,47,14,12
"27","Nebraska",10077.94,22540.86,2.23665352244606,483546,224838,19203,816022,2.56,414.6,33.22,2337.734,2.65,68.83,91.03,317.192,233,71,37,19431.86472,5794.80081,4409.64311,15348,1280,6465832.33411214,591216.848819161,10.9364818459189,21451.9765439296,9974.68597027797,851.919580708101,36201.9017907924,0.617462614568259,3.85006537846869,1.42103421518445,28.698706146435,8.33984884023977,1.1990614557963,1.22523624759416,0.839070171372667,0.439715994866632,10,19,2,12,10,29,34,48,36,19,28,17,11
"28","Nevada",5606.292,13508.747,2.40956892719823,690578,156288,183901,1216101,0.8,456.673,1.746,1519.397,4,161.598,19.047,378.161,317,84,94,25231.34636,3843.86286,8699.34062,2067,29,28035611.4545455,1103996.63636364,25.3946529646047,51120.8034320282,11569.3927793599,13613.4757724014,90023.2271727348,0.175180052247451,2.47527815938316,0.114914008649484,5.03674360920349,1.40299951620706,1.25637370070172,2.18530168893695,1.08054166523715,1.03669081067473,34,23,46,31,2,17,1,12,2,24,48,32,34
"29","New Hampshire",4003.984,8453.163,2.11118800674528,273146,110295,109401,599768,0.5,141.961,2.853,322.742,0.131,83.046,12.597,223.028,104,16,15,11956.25576,2078.74883,4072.96916,2527,194,5079249.82428871,237699.811267105,21.3683376407107,32312.8750740995,13047.7786835531,12942.0194547295,70951.9028557713,0.352209409626588,0.157743900970546,0.88398782928779,5.64816973653532,7.67708745548081,0.869837531812719,0.769693758528778,0.36828169845509,0.744249540834022,20,26,44,22,6,1,22,13,34,3,3,1,25
"30","New Jersey",3144.59,8551.253,2.71935387443196,2944934,742395,173908,9729749,0.58,44.88,3.61,159.64,36.03,386.66,336.2,1798.98,584,18,329,66341.14996,1995.25338,37594.85838,6798,482,313002914.365749,3498367.90393959,89.4711256678489,344386.255441162,86817.1015405579,20337.1365576483,1137815.59263888,1.29233511586453,9.31826410800186,2.26133801052368,18.6883678528944,7.09032068255369,0.880298276939907,0.902141060400058,0.875119668425254,5.61830495991531,50,50,49,50,24,46,41,45,31,4,13,18,50
"31","New Mexico",24432.207,29429.545,1.20453895139313,435393,52738,314077,975017,23.696,843.336,24.221,1915.734,5.577,156.087,99.315,700.479,398,95,134,23756.4356,7377.0226,6224.00848,4025,208,4616546.60172936,553032.665800418,8.34769243702399,14794.4183302868,1792.0086769945,10672.1663552732,33130.5495888571,2.80979348681901,3.57300736127929,1.26431957672621,14.1781552337757,5.16770186335404,1.67533550361402,1.28778241780092,2.15295336487074,0.316727577610436,5,1,36,7,40,28,31,36,18,44,31,50,4
"32","New York",17071.47,38156.8,2.23512093568978,3937980,1920550,464851,14306404,21.81,797.93,26.25,2071.8,86.62,922.53,731.15,3070.69,1046,70,425,102476.87454,8479.54888,46886.94953,17555,1672,267409791.248543,4696123.97683694,56.942660067645,103205.195404227,50333.0992116739,12182.6515850386,374937.206474337,2.73332247189603,9.38939655078968,1.26701419055893,23.8106093418743,9.52435203645685,1.02071809341893,0.825515613986295,0.906435595107482,2.18788264118739,47,48,41,49,38,48,32,46,40,9,7,19,48
"33","North Carolina",81353.237,173653.322,2.13455946442549,4844323,1272829,374775,7141616,4.205,544.043,6.479,1595.917,17.701,780.311,82.27,1977.291,1538,163,339,106342.36536,14101.33355,36554.73714,18877,1325,38145457.9253177,3480889.54989943,10.9585372872345,27896.5178679392,7329.71293229853,2158.17927168707,41125.7090722399,0.772916846646313,2.26845450083364,0.405973493609004,4.16074315818966,7.0191238014515,1.44627213697328,1.15591904426656,0.927376385450874,0.517203613586493,17,12,11,15,15,15,10,7,30,34,22,20,17
"34","North Dakota",7413.572,17245.396,2.32619255603102,376287,30940,20294,464436,1.949,509.732,32.575,2944.629,0.6,61.191,17.905,206.875,100,33,7,8767.60078,3184.75673,1312.67259,4285,481,667125.835678999,197742.475943197,3.37371033965731,21819.5627401076,1794.10203163789,1176.77784841821,26931.0139355455,0.382357788014094,0.980536353385302,1.10625141571315,8.65498489425982,11.2252042007001,1.14056288041892,1.03618589417346,0.53326321074473,0.317559270466221,11,2,5,2,7,2,28,24,43,16,19,5,5
"35","Ohio",20392.302,49680.663,2.43624594221878,1970380,480042,612521,3990755,13.97,642.63,9.448,1521.871,42.474,930.684,368.538,2398.031,1230,112,323,103114.93613,13185.06909,38928.38958,27151,1334,38315251.3033587,3935824.48610628,9.73499998249772,39660.9038812546,9662.55220869335,12329.1631595174,80328.1349123702,2.17387921510045,4.56374021687275,0.620814773394066,15.3683584574178,4.91326286324629,1.19284368119988,0.849445681592557,0.829728646586361,0.637507350785051,22,17,42,26,33,32,17,39,16,18,11,15,20
"36","Oklahoma",13412.734,30406.567,2.2669924714827,1360030,703103,247262,2694756,15,636.72,45.799,2236.102,15.398,284.13,71.303,738.818,652,134,149,42000.17854,10066.36018,13168.33508,23220,2296,7839016.23638507,1047077.42269971,7.48656791412188,44728.1667805511,23123.3930486135,8131.86177841122,88624.1449092231,2.35582359592914,5.41935029739908,2.04816238257468,9.65095598645404,9.88802756244617,1.5523743533115,1.33116635609993,1.13150219139168,0.660519435420911,26,37,31,30,35,38,40,25,41,38,33,35,21
"37","Oregon",9116.87,18460.35,2.02485611838273,924356,291763,159947,2001116,3.24,493.51,19.1,2652.45,6.69,232.69,64.99,838.77,508,124,125,32297.97845,7593.10952,11339.38888,8235,382,44564560.680101,1307435.80132851,34.0854676266462,50072.5067509554,15804.8466036668,8664.35360109641,108400.761632363,0.656521651030374,2.87506983540333,0.720088974344474,7.74825041429713,4.63873709775349,1.57285385766923,1.63305954791496,1.10235217543752,1.1695784970492,33,30,32,38,11,21,20,22,13,39,42,33,37
"38","Pennsylvania",41752.535,88322.133,2.11537174928421,3817048,1794855,945086,9031685,32.283,1066.255,21.288,1578.923,48.862,797.064,379.901,2865.955,1129,124,354,87982.49094,14889.82588,33384.06472,23166,3198,147251416.641784,4150992.29701376,35.4737870141838,43217.3439470716,20321.6899211435,10700.4435683183,102258.456552448,3.02769975287337,6.13024801019743,1.34826080815847,13.2556512576087,13.8047138047138,1.28320986134608,0.832783411970967,1.06038615419986,1.11077839689843,24,34,37,35,42,39,33,35,46,28,9,29,35
"39","Rhode Island",1209.591,2869.8,2.37253749407858,356087,113401,35653,631456,0.049,17.843,4.132,97.3,1.301,52.166,102.412,341.337,67,6,35,6864.09328,503.39365,4205.40235,779,136,19984675.740627,533718.388902244,37.4442330565593,124080.772179246,39515.2972332567,12423.5138337166,220034.845633842,0.27461749705767,2.4939615841736,4.24665981500514,30.0031933250717,17.4582798459564,0.976093961240573,1.19191014825078,0.832262815471152,2.11140329725548,48,46,43,46,3,18,49,49,48,7,26,16,47
"40","South Carolina",41310.423,90552.099,2.19199157074717,1903048,385182,126634,2487783,5.182,546.291,15.402,1545.711,3.453,304.299,43.046,1024.109,1064,351,172,53972.05201,12029.59601,16048.10832,9395,499,23090720.3793477,1692922.94092296,13.6395578447055,21016.0561821985,4253.70592458602,1398.46565014468,27473.4989853742,0.948578687915415,1.13473918744393,0.996434650461826,4.20326351980112,5.3113358169239,1.9713906742009,2.91780372099129,1.07177741183143,0.479732839872919,9,3,8,3,19,3,24,8,23,50,50,30,14
"41","South Dakota",8907.29,17955.264,2.0157942539201,245906,98602,113589,496054,2.585,591.032,17.775,2591.021,1,87.749,9.333,135.644,141,51,15,9742.50787,4084.57771,1390.44752,5886,1018,1500276.39076247,199603.657026168,7.51627707184637,13695.4822830787,5491.53718931674,6326.22277233016,27627.2184023582,0.437370565383939,1.13961412665671,0.686023000199535,6.8805107487246,17.2952769283044,1.44726595945773,1.2485990871257,1.07878936703774,0.289664262555657,4,8,27,4,8,4,18,19,47,35,29,31,2
"42","Tennessee",14422.387,37746.437,2.61721149210599,1172329,403701,235296,1846165,4.289,644.566,8.025,1704.905,9.231,556.434,91.121,1833.03,1217,155,418,76392.47494,13282.08868,28835.17347,20331,841,23208692.1992317,2245805.01000093,10.3342418847049,31058.0042296442,10695.0756703209,6233.59497480517,48909.6494061148,0.665408972859257,1.65895685741705,0.470700713529493,4.97105884791847,4.13654025871821,1.59308884933477,1.16698513113677,1.44961846834348,0.544588549135449,18,21,26,16,12,10,13,10,11,40,23,47,18
"43","Texas",81113.398,198465.385,2.44676452834586,9622499,2101734,432230,14869066,24.745,1999.67,33.761,8375.675,57.88,1457.295,893.915,6164.882,3874,630,1285,260581.95545,41025.34398,116488.25886,55175,789,370181457.292509,10483903.8506093,35.3095051774053,48484.5203610695,10589.9273064671,2177.86088994814,74920.1983005752,1.23745417993969,3.97174216613657,0.403083930548881,14.5001153306746,1.42999546896239,1.4866723957574,1.53563611875412,1.10311546637877,1.17105892096798,30,20,12,24,22,30,9,37,3,36,40,34,38
"44","Utah",6268.794,16022.842,2.55596881952095,938924,258207,67478,1677547,2.078,684.641,5.09,1191.271,6.822,253.418,20.662,656.245,276,53,102,30251.18348,5412.94914,13063.4082,3056,63,12400409.8424783,1162710.54545455,10.6650876187164,58599.0924706116,16114.9314210301,4211.36275324939,104697.219132536,0.303516733587384,2.69199504376169,0.427274734296394,3.14851922681316,2.06151832460733,0.912360999636501,0.97913353015543,0.780806956640917,0.879695095011477,37,31,21,36,4,20,11,5,5,5,16,13,29
"45","Vermont",2628.169,5997.863,2.28214509797505,194913,117302,81241,473140,2.919,255.284,5.902,328.649,0.881,64.308,8.911,125.403,62,13,7,6006.9751,1577.74718,935.14707,2836,68,684472.797736528,93345.1818181818,7.33270624583224,32497.0743746564,19557.2989913241,13544.9909409401,78884.7627896803,1.14343241252879,1.36996952167693,1.79583689589806,7.10589060867762,2.39774330042313,1.03213346098272,0.823959640986333,0.748545359822386,0.511581462022726,21,33,45,25,21,6,38,21,7,10,6,12,15
"46","Virginia",59290.938,128988.6,2.17551963843109,1530009,1769492,478453,4497796,2.068,598.2,4.66,1635.352,13.358,520.757,82.509,1353.132,850,175,216,76110.26923,14531.46916,31458.82974,13997,530,67360613.7471942,3029205.04582251,22.2370597989361,11861.5831166475,13718.204554511,3709.26578007669,34869.7171688041,0.345703778000669,2.56511194280634,0.284953942637426,6.0976312732239,3.78652568407516,1.11680067433655,1.20428291229983,0.686611681951269,0.514056547955126,2,27,18,8,5,19,3,16,10,14,27,10,16
"47","Washington",15542.59,18449.7,1.18704154198239,1807166,1048661,299185,3741480,17.6,428.99,15.64,1312.376,9.78,334.59,246.557,1408.649,560,66,138,53658.2413,8151.52786,23958.66931,8358,401,50371844.7731665,2555959.48633421,19.7076068859802,97950.9693924562,56838.9187900074,16216.2528387995,202793.541358396,4.10265973565817,2.92298036402762,1.19173163788426,17.5030827409809,4.79779851639148,1.04364210684632,0.809664165215771,0.575991922649898,1.50191650323212,44,49,47,42,45,22,30,44,15,11,4,6,41
"48","West Virginia",34704.451,71053.824,2.04739801243362,910892,334687,66194,1483700,10.998,319.352,29.661,1012.214,21.142,235.238,22.721,395.754,267,43,45,16054.14025,3780.86909,4739.48165,7314,1490,2791910.35377483,372147.294473772,7.50216485578023,12819.7463376496,4710.3305798151,931.603624880204,20881.3532681929,3.44384879380746,8.98749351720385,2.9303092033898,5.74119276115971,20.3718895269346,1.66312238364804,1.13730465076748,0.949470919462258,0.278948622768059,3,5,3,1,44,45,45,14,50,43,21,21,1
"49","Wisconsin",11747.23,29805.73,2.53725601695038,1384617,349633,180214,2539117,13.34,508.16,43.12,2825.275,19.161,366.16,327.233,1891.135,614,107,122,57599.94105,11964.82587,18202.47359,14307,987,21566075.9856091,1770082.98258473,12.1836525167411,46454.7253162395,11730.3954642279,6046.28707298899,85188.8881768707,2.62515743073048,5.23295826960891,1.52622311102459,17.3035240741671,6.89872090585028,1.06597331317928,0.894287983482371,0.67023857717351,0.759781309710557,28,24,24,29,36,37,35,43,27,12,12,9,27
"50","Wyoming",7230.736,15792.422,2.18406839912286,374234,106393,42152,564377,12.717,807.05,5.921,1914.304,7.081,105.653,11.374,191.407,127,56,17,9800.31981,4147.37377,1239.22442,3114,230,499339.447184825,77725.3636363636,6.42440799017645,23697.0617933082,6736.96536224779,2669.12826924205,35737.2035777666,1.57573880180906,6.70212866648368,0.309303015612985,5.94231140971856,7.38599871547848,1.29587607815015,1.35025206565841,1.37182577470512,0.391076728822125,13,10,15,10,31,41,4,15,32,29,34,44,8
