"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_delay_hours","state_tot_commuters","state_avg_delay_hours","coli_index","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","capital_disbursement_per_lm","maintenance_disbursement_per_lm","admin_disbursement_per_lm","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score_NOcoli","overall_score_WITHcoli","overall_score_perlm_NOcoli","state_avg_delay_hours_rank","coli_index_rank","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","capital_disbursement_per_lm_rank","maintenance_disbursement_per_lm_rank","admin_disbursement_per_lm_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_NOcoli_rank","overall_score_WITHcoli_rank","overall_score_perlm_NOcoli_rank"
"22","Michigan",9648.566,27366.346,2.83631225614252,1453437,379062,127196,2533199,16.761,558.102,15.055,2129.91,52.424,672.843,393.858,2323.23,1084,92,351,86546.99493,11172.76279,34137.54162,11284,1240,80394865.1978197,3290844.12768392,24.4298611780197,0.913,16793.6160137686,4379.84011237581,1469.67552256294,53110.3787111367,13851.3925096175,4647.89855393921,3.00321446617285,7.79141642255326,0.706837378105178,16.9530352139048,10.989010989011,0.823431068297119,1.02819354687908,0.9510872105061,0.959848907019723,1.09566065375333,35,13,7,6,6,35,28,23,41,43,19,42,42,5,28,29,29,33
"23","Minnesota",11694.497,29175.577,2.49481247461947,1197615,558585,181153,2354155,5.254,588.081,19.284,3453.316,10.405,325.418,11.356,612.246,394,67,61,51619.44114,9729.46025,15098.5755,13496,618,53999169.2852907,1940920.2687448,27.8214258230258,1,23200.8517246803,10821.2136292803,3509.39483263069,41048.5455009167,19145.6367769522,6209.06314894818,0.893414342582059,3.19742607968828,0.55841979129625,1.85480999467534,4.57913455838767,0.688630183776125,0.404011623480639,0.663477989476309,0.691521490353283,0.704840617595829,37,26,18,32,28,23,32,25,17,27,15,1,12,2,2,4,4,9
"24","Mississippi",10948.065,28310.191,2.58586252456484,708631,124291,60441,1031193,8.637,578.436,16.197,1783.239,7.932,253.106,93.539,952.061,752,177,138,39665.08749,9805.39776,9668.9066,16788,1174,12650100.2244542,557546.322951286,22.688877504371,0.833,17865.3582997555,3133.51130339332,1523.78335268359,25030.9508685406,4390.32714403093,2134.9555712994,1.49316432587183,3.1338648629428,0.908291036703437,9.82489567370158,6.99309030259709,1.80512819910327,1.42725548719232,0.806254769394387,0.832313673500293,0.794813729034571,30,1,8,4,7,15,4,10,29,26,23,26,29,46,45,15,16,17
"25","Missouri",33830.168,77693.084,2.29656216900844,805193,513233,182531,2157743,4.626,841.535,8.833,1890.406,16.286,538.11,70.638,871.492,987,146,291,72797.03699,14354.89963,22357.05028,24590,2218,57494136.1949426,2028942.56595222,28.3369954180835,0.898,11060.7935884892,7050.19079376132,2507.39600878363,10363.7667414515,6605.90330022168,2349.38543564573,0.549709756575781,3.02651874152125,0.467254124246326,8.1054100324501,9.019926799512,1.01707433533619,1.30160283380639,0.735711875270736,0.766963124004636,0.669268635165504,38,7,1,17,20,1,9,13,9,24,12,23,39,17,42,9,11,7
"26","Montana",11025.544,25210.881,2.28658839872209,528455,134321,44141,784116,14.5,1095.069,43.36,2772.977,1.7,97.708,38.067,255.623,213,90,14,12104.09134,4904.2479,1779.6028,5266,365,1325175.18181818,161508.272727273,8.20499878700275,1.007,43659.2045743766,11097.1568395319,3646.78345198277,20961.3856810478,5327.89790249694,1750.87098304895,1.32411747570244,1.7398780038482,1.56366244653309,14.8918524545913,6.93125712115458,1.83514377403312,0.786692401248189,0.973726907972474,0.974282779869391,0.73451906159036,4,28,44,35,30,8,6,9,25,13,36,38,28,47,14,31,31,12
"27","Nebraska",9939.26,22540.86,2.26786098763892,483546,224838,19203,816022,2.56,414.6,33.22,2337.734,2.65,68.83,91.03,317.192,233,71,37,19431.86472,5794.80081,4409.64311,15348,1280,8730101.12491167,591216.848819161,14.766326674127,0.937,24884.1790001922,11570.5828153789,988.222194663364,21451.9765439296,9974.68597027797,851.919580708101,0.617462614568259,3.85006537846869,1.42103421518445,28.698706146435,8.33984884023977,1.22523624759416,0.839070171372667,0.933946575781712,0.947770097968746,0.837296574234555,10,19,20,37,2,10,19,2,10,29,34,48,36,28,17,26,26,20
"28","Nevada",5354.476,13508.747,2.52288870096719,690578,156288,183901,1216101,0.8,456.673,1.746,1519.397,4,161.598,19.047,378.161,317,84,94,25231.34636,3843.86286,8699.34062,2067,29,18228658.9090909,1103996.63636364,16.51151670999,1.063,27369.8434537284,6194.19977713785,7288.59242690052,51120.8034320282,11569.3927793599,13613.4757724014,0.175180052247451,2.47527815938316,0.114914008649484,5.03674360920349,1.40299951620706,2.18530168893695,1.08054166523715,0.757588399146063,0.764481479767948,0.831191818845307,14,35,23,13,43,34,23,46,2,17,1,12,2,48,32,11,10,19
"29","New Hampshire",3896.922,8453.163,2.16918968355025,273146,110295,109401,599768,0.5,141.961,2.853,322.742,0.131,83.046,12.597,223.028,104,16,15,11956.25576,2078.74883,4072.96916,2527,194,4666593.29062796,237699.811267105,19.6322969957434,1.099,22845.4463908189,9224.87793954652,9150.10536710031,32312.8750740995,13047.7786835531,12942.0194547295,0.352209409626588,0.157743900970546,0.88398782928779,5.64816973653532,7.67708745548081,0.769693758528778,0.36828169845509,0.779378999346218,0.772632972068343,0.747216396133428,24,37,17,28,45,20,26,44,6,1,22,13,34,3,1,13,12,14
"30","New Jersey",2329.06,8551.253,3.6715468901617,2944934,742395,173908,9729749,0.58,44.88,3.61,159.64,36.03,386.66,336.2,1798.98,584,18,329,66341.14996,1995.25338,37594.85838,6798,482,141722444.91578,2775124.5042278,51.0688600456921,1.152,44390.7590051669,11190.5657415891,2621.41973880249,344386.255441162,86817.1015405579,20337.1365576483,1.29233511586453,9.31826410800186,2.26133801052368,18.6883678528944,7.09032068255369,0.902141060400058,0.875119668425254,1.25784790512193,1.20978695548767,2.57136672892122,50,40,45,36,21,50,50,49,24,46,41,45,31,13,18,39,38,50
"31","New Mexico",11920.879,29429.545,2.46873951157461,435393,52738,314077,975017,23.696,843.336,24.221,1915.734,5.577,156.087,99.315,700.479,398,95,134,23756.4356,7377.0226,6224.00848,4025,208,10030115.5783406,553032.665800418,18.1365698603424,0.91,18327.3706262567,2219.9458238592,13220.7122856427,14794.4183302868,1792.0086769945,10672.1663552732,2.80979348681901,3.57300736127929,1.26431957672621,14.1781552337757,5.16770186335404,1.28778241780092,2.15295336487074,1.21582116660774,1.22916732570786,1.0125023181125,19,12,9,1,48,5,1,36,40,28,31,36,18,31,50,38,39,31
