"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_congestion_hours","state_tot_commuters","state_avg_congestion_hours","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_rank"
"29","New Hampshire",3896.922,8453.163,2.16918968355025,273146,110295,109401,599768,0.5,141.961,2.853,322.742,0.131,83.046,12.597,223.028,104,16,15,11956.25576,2078.74883,4072.96916,2527,194,5079249.82428871,237699.811267105,21.3683376407107,22845.4463908189,9224.87793954652,9150.10536710031,0.352209409626588,0.157743900970546,0.88398782928779,5.64816973653532,7.67708745548081,0.769693758528778,0.36828169845509,0.777672636155899,17,28,45,6,1,22,13,34,3,1,25
"30","New Jersey",2329.06,8551.253,3.6715468901617,2944934,742395,173908,9729749,0.58,44.88,3.61,159.64,36.03,386.66,336.2,1798.98,584,18,329,66341.14996,1995.25338,37594.85838,6798,482,313002914.365749,3498367.90393959,89.4711256678489,44390.7590051669,11190.5657415891,2621.41973880249,1.29233511586453,9.31826410800186,2.26133801052368,18.6883678528944,7.09032068255369,0.902141060400058,0.875119668425254,2.31349212072316,45,36,21,24,46,41,45,31,13,18,48
"31","New Mexico",11920.879,29429.545,2.46873951157461,435393,52738,314077,975017,23.696,843.336,24.221,1915.734,5.577,156.087,99.315,700.479,398,95,134,23756.4356,7377.0226,6224.00848,4025,208,4616546.60172936,553032.665800418,8.34769243702399,18327.3706262567,2219.9458238592,13220.7122856427,2.80979348681901,3.57300736127929,1.26431957672621,14.1781552337757,5.16770186335404,1.28778241780092,2.15295336487074,0.476704223117933,9,1,48,40,28,31,36,18,31,50,6
"32","New York",15095.98,38156.8,2.52761331162336,3937980,1920550,464851,14306404,21.81,797.93,26.25,2071.8,86.62,922.53,731.15,3070.69,1046,70,425,102476.87454,8479.54888,46886.94953,17555,1672,267409791.248543,4696123.97683694,56.942660067645,38427.9869743967,18741.3014752938,4536.15512852662,2.73332247189603,9.38939655078968,1.26701419055893,23.8106093418743,9.52435203645685,0.825515613986295,0.906435595107482,1.65951390177133,41,42,34,38,48,32,46,40,7,19,47
"33","North Carolina",80211.665,173653.322,2.16493850364532,4844323,1272829,374775,7141616,4.205,544.043,6.479,1595.917,17.701,780.311,82.27,1977.291,1538,163,339,106342.36536,14101.33355,36554.73714,18877,1325,38145457.9253177,3480889.54989943,10.9585372872345,45554.0271612405,11969.1620145095,3524.23043000104,0.772916846646313,2.26845450083364,0.405973493609004,4.16074315818966,7.0191238014515,1.15591904426656,0.927376385450874,1.0210530541194,46,38,29,15,15,10,7,30,22,20,37
"34","North Dakota",7411.548,17245.396,2.32682780979088,376287,30940,20294,464436,1.949,509.732,32.575,2944.629,0.6,61.191,17.905,206.875,100,33,7,8767.60078,3184.75673,1312.67259,4285,481,667125.835678999,197742.475943197,3.37371033965731,42917.8984584195,3528.90155201615,2314.65830952216,0.382357788014094,0.980536353385302,1.10625141571315,8.65498489425982,11.2252042007001,1.03618589417346,0.53326321074473,0.845653932323178,42,5,16,7,2,28,24,43,19,5,28
"35","Ohio",19257.183,49680.663,2.57985100936103,1970380,480042,612521,3990755,13.97,642.63,9.448,1521.871,42.474,930.684,368.538,2398.031,1230,112,323,103114.93613,13185.06909,38928.38958,27151,1334,38315251.3033587,3935824.48610628,9.73499998249772,19108.5799395335,4655.40704398825,5940.17727196938,2.17387921510045,4.56374021687275,0.620814773394066,15.3683584574178,4.91326286324629,0.849445681592557,0.829728646586361,0.514284744313444,11,7,41,33,32,17,39,16,11,15,7
"36","Oklahoma",12252.49,30406.567,2.48166429844056,1360030,703103,247262,2694756,15,636.72,45.799,2236.102,15.398,284.13,71.303,738.818,652,134,149,42000.17854,10066.36018,13168.33508,23220,2296,7839016.23638507,1047077.42269971,7.48656791412188,32381.5290143288,16740.4764560794,5887.16545013049,2.35582359592914,5.41935029739908,2.04816238257468,9.65095598645404,9.88802756244617,1.33116635609993,1.13150219139168,0.720729865590817,31,41,40,35,38,40,25,41,33,35,18
"37","Oregon",7602.71,18460.35,2.42812760186828,924356,291763,159947,2001116,3.24,493.51,19.1,2652.45,6.69,232.69,64.99,838.77,508,124,125,32297.97845,7593.10952,11339.38888,8235,382,44564560.680101,1307435.80132851,34.0854676266462,28619.6240247971,9033.47559203044,4952.22944827991,0.656521651030374,2.87506983540333,0.720088974344474,7.74825041429713,4.63873709775349,1.63305954791496,1.10235217543752,1.09665992636398,26,27,36,11,21,20,22,13,42,33,39
"38","Pennsylvania",39713.25,88322.133,2.22399660063077,3817048,1794855,945086,9031685,32.283,1066.255,21.288,1578.923,48.862,797.064,379.901,2865.955,1129,124,354,87982.49094,14889.82588,33384.06472,23166,3198,147251416.641784,4150992.29701376,35.4737870141838,43384.1774564334,20400.1384914643,10741.7508859178,3.02769975287337,6.13024801019743,1.34826080815847,13.2556512576087,13.8047138047138,0.832783411970967,1.06038615419986,1.39139091027177,43,46,46,42,39,33,35,46,9,29,45
